derivat,vnumber,btnumber,at_id,prio_int,ia_genehmigungsstand,pep_bauphase,ksps,istufe,anlauf_sop_at,bo,quelle,av_fzg,pl,basistyp,puk_werk,hybrid,basisausfuehrung,antriebsart,motortyp,rueckgabe_soll,key
8f299afacdd0,f896de23dbe7,be4d0d760568,491f56eb670f,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,d48dae0e3669,f4f0d803c9db,00e672016ac8,4de01d76ccae,62fdc041cb87,756653dcabed,80933a776306,e2cf8569465e,97fcfadd6aae,7c572aeb3f13,8f66477f646c,f998841971b1,a356ff556374,6b04e1269d88
8f299afacdd0,9d43f6723cb8,177a70948b3d,a91a8c8a487e,56f8f910cb81,6382a318d580,d716ade3ab1c,48bb323e452d,795468d8d973,ab0c10beb5c7,4bf29dd69ad1,4de01d76ccae,ae173b2bc10d,756653dcabed,4b09d5f20bae,e2cf8569465e,57291f65f094,2dbf72b294d1,8f66477f646c,d6b9aa8c53a2,1c6e2fece553,9e2b3de9a5c3
df1c8a376ed9,"3,18846E+11",0a49098c0912,2ce1eebf79bd,56f8f910cb81,6382a318d580,d716ade3ab1c,48bb323e452d,8ba0762e8d38,683d619c2b4f,1909f4707fbc,4de01d76ccae,ae8304321c30,83575dc8dc80,70e6db82eba8,a1506fa41e74,7352775fc497,2dbf72b294d1,8f66477f646c,e36764d55ec2,cf55d3c65192,ba696a8446ce
df1c8a376ed9,888e575077ce,dd4094f78e2d,8fe63b9af8dc,56f8f910cb81,6382a318d580,d716ade3ab1c,48bb323e452d,8ba0762e8d38,683d619c2b4f,7f2cae55fcfa,4de01d76ccae,8113e6501649,83575dc8dc80,70e6db82eba8,a1506fa41e74,7352775fc497,2dbf72b294d1,8f66477f646c,e36764d55ec2,cf55d3c65192,ba696a8446ce
84ecfe499d74,b9e0bd684996,879539a4a63f,00644e8bf8b4,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,4ac29cd5efa5,ab0c10beb5c7,00e672016ac8,4de01d76ccae,9d6c25d0b773,756653dcabed,ff9e88550944,e2cf8569465e,97fcfadd6aae,2dbf72b294d1,8f66477f646c,d722adc32b8c,b56e65895c3c,a51e9da7a54e
84ecfe499d74,8b35129d753f,59c65b56d03b,1e2c1ae0ed38,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,7c3abdce0cd6,892e70c90b50,620c655d09d4,4de01d76ccae,8d95d36b3f16,756653dcabed,5e87210fdf45,e2cf8569465e,97fcfadd6aae,7c572aeb3f13,8f66477f646c,d722adc32b8c,0c932978e0e0,69e655ee45d3
84ecfe499d74,888ef6f6cfcc,6d79bdba3136,17e404bce831,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,7c3abdce0cd6,892e70c90b50,00e672016ac8,4de01d76ccae,072f6b04f349,756653dcabed,5e87210fdf45,e2cf8569465e,97fcfadd6aae,7c572aeb3f13,8f66477f646c,d722adc32b8c,b56e65895c3c,69e655ee45d3
84ecfe499d74,45035a8d888e,946000519e3b,d159ffdf0431,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,7c3abdce0cd6,892e70c90b50,00e672016ac8,4de01d76ccae,ee29d04f20e2,756653dcabed,ff9e88550944,e2cf8569465e,97fcfadd6aae,2dbf72b294d1,8f66477f646c,d722adc32b8c,b56e65895c3c,69e655ee45d3
0a3734d6db15,0149751f4c58,08407e2f7981,99d94fd9aaf2,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,563766e851d0,534f5144ebbb,1909f4707fbc,4de01d76ccae,c0c69e39d885,83575dc8dc80,3a02a6ab4533,995cffb65bc1,7352775fc497,2dbf72b294d1,8f66477f646c,8b3844c30586,9b1734a46970,3c3348cc38b3
0a3734d6db15,8ed54a8305b3,59b122f4a157,79be159b84b8,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,563766e851d0,534f5144ebbb,1909f4707fbc,4de01d76ccae,6180a41f407a,83575dc8dc80,4e2cb0e88415,995cffb65bc1,7352775fc497,7c572aeb3f13,8f66477f646c,8b3844c30586,9b1734a46970,3c3348cc38b3
9849403da850,22d8226d1d80,50a68fb4ce21,3d3bce6ba311,56f8f910cb81,6382a318d580,d716ade3ab1c,48bb323e452d,23e3c97d9658,15333a08eda1,1909f4707fbc,4de01d76ccae,23373414d6b6,756653dcabed,e2fbe3d16651,bf543ca63d18,7b508042d539,2dbf72b294d1,8f66477f646c,1109674b94ea,cec12885b0b0,299136019f1d
38462567dddb,700bc5865638,115c0f34baf0,800389bb1046,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,dd1b995bcbab,3f33e3112315,620c655d09d4,4de01d76ccae,321150e5d666,756653dcabed,2eebb8138da1,e2cf8569465e,97fcfadd6aae,2dbf72b294d1,8f66477f646c,f998841971b1,93c7061938b3,b1339d49c110
db6d34019963,11903ec000fd,52e2cb3c9cbb,c8f637774a46,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,3808271ce710,0a1a6904b336,b1702bf87abd,4de01d76ccae,fb0cbc8ea70a,83575dc8dc80,6ff8525d582b,a1506fa41e74,7352775fc497,7c572aeb3f13,8f66477f646c,f515ff631d41,dcce6e0006a3,896d47aac777
0be20aeac075,4f5301dc87e1,8ca44d782056,0d765b7e18ef,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,701ff6666c15,debbed8d4496,547d1fbc079e,4de01d76ccae,b0d61409d072,83575dc8dc80,d3afa3be697e,a1506fa41e74,7352775fc497,7c572aeb3f13,8f66477f646c,246f9958003a,15a38405c178,19e2b86fe736
0be20aeac075,232264aa9115,3be9a26562c9,86bfc75d59e7,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,37f04650e47f,9314d7ed9792,00e672016ac8,4de01d76ccae,a283a33b2666,83575dc8dc80,d126cf14a2e6,a1506fa41e74,7352775fc497,7c572aeb3f13,6ded4dc64807,db065f5d38ed,bab845b6656e,21e4b993995a
0be20aeac075,b4f59ed4ced4,b208820065de,2be538c144dd,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,37f04650e47f,9314d7ed9792,547d1fbc079e,4de01d76ccae,140da3fc070f,83575dc8dc80,0cdcced8907d,a1506fa41e74,7352775fc497,7c572aeb3f13,8f66477f646c,e36764d55ec2,dcd02dc208df,21e4b993995a
9849403da850,b830ac5f2d30,b74266163a84,d5d392999397,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,23e3c97d9658,15333a08eda1,3cff0c4a8957,4de01d76ccae,0c1beeb48a1f,756653dcabed,e2fbe3d16651,bf543ca63d18,7b508042d539,2dbf72b294d1,8f66477f646c,1109674b94ea,a9a07d0a7388,299136019f1d
